Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag
06-11-2024,US North,Storage,279,325,27.88,98.32,1.29,0
06-05-2025,US West,Storage,417,517,29.86,98.38,1.07,0
03-03-2025,US North,Compute,335,416,66.56,98.95,1.45,1
04-02-2025,US North,Compute,158,189,25.92,99.74,1.45,0
08-04-2025,India South,Storage,388,421,37.36,99.21,0.83,0
14-06-2024,US South,Compute,215,246,29.44,99.34,0.94,1
09-10-2024,US North,Compute,360,439,44.51,98.69,0.9,0
25-04-2024,Asia East,Storage,240,271,19.35,99.48,1.2,0
15-08-2024,India South,Compute,238,251,45.36,99.63,1.26,0
11-05-2024,Asia East,Storage,261,305,17.89,97.72,1.42,1
07-01-2024,India South,Storage,537,597,32.61,99.31,1.09,0
31-03-2024,India South,Storage,217,264,13.92,98.93,0.89,0
21-09-2024,US West,Storage,313,381,16.41,99.61,1.43,0
30-01-2024,US East,Storage,416,491,32.87,97.71,1.3,0
23-06-2025,US West,Compute,108,122,21.08,99.37,0.98,0
27-06-2025,US West,Storage,641,782,41.46,97.06,1.29,0
26-01-2025,US South,Storage,491,613,33.97,97.87,1.33,1
16-08-2024,Europe West,Storage,584,670,33.18,97.83,1.37,0
19-02-2025,US West,Compute,190,201,28.76,97.32,1.29,0
09-05-2024,Asia East,Compute,271,309,41.63,98.34,1.1,0
04-06-2024,US South,Compute,605,689,85.34,98.89,1.3,0
10-06-2025,Asia East,Compute,63,76,9.23,97.97,1.19,0
09-04-2025,Asia East,Storage,409,472,29.78,97.29,1.02,0
13-03-2025,US North,Storage,292,331,24.91,97.27,1,0
11-04-2025,US East,Storage,557,646,39.33,97.28,1.46,0
08-12-2024,US West,Compute,54,66,9.59,99.68,0.85,0
06-06-2024,US North,Storage,345,411,25.62,98.74,1.44,0
03-10-2024,US North,Compute,316,373,62.43,97.78,1.46,0
27-05-2024,US North,Compute,52,54,9.11,97.97,0.8,0
29-04-2025,India South,Compute,663,792,125.47,99.22,1.43,0
17-08-2024,US South,Storage,347,385,24.23,98.85,1.06,0
24-05-2025,US South,Compute,656,733,104.56,99.41,1.34,0
21-10-2024,US West,Storage,294,345,23.28,97.69,1.17,0
17-05-2024,US North,Storage,540,601,28.28,98.24,1.25,0
17-01-2025,US West,Compute,446,503,64.23,98.01,1.29,0
25-08-2024,US West,Compute,41,48,7.18,99.06,1.02,1
02-06-2025,US North,Storage,424,504,24.81,97.72,0.99,0
09-02-2025,India South,Storage,466,508,28.74,99.56,0.97,0
02-03-2025,Europe West,Storage,256,273,13.37,99.21,0.89,0
05-12-2024,US West,Storage,370,425,22.43,97.79,1.3,0
07-06-2024,India South,Storage,317,352,17.93,99.88,0.99,0
08-06-2024,US West,Compute,480,579,68.59,99.84,1.21,0
24-07-2024,US North,Storage,53,60,4.35,98.4,1.03,0
23-07-2024,US North,Storage,162,201,9.02,99.78,1.31,0
30-03-2025,US South,Compute,182,219,27.22,98.84,1.07,0
15-02-2025,US East,Storage,86,94,8.16,98.82,1.31,0
14-03-2024,US North,Compute,151,179,24.02,98.92,1.2,0
25-06-2024,US East,Compute,96,109,16.06,98.23,0.87,1
20-03-2024,US West,Storage,324,380,18.82,97.27,0.95,1
22-05-2025,Asia East,Storage,267,322,15.53,98.03,0.98,0
09-10-2024,US North,Compute,415,441,54.14,97.82,0.84,0
28-10-2024,US East,Storage,125,151,10.11,98.58,1.02,0
26-03-2025,US North,Compute,641,800,109.8,98.5,1.35,0
15-02-2024,Europe West,Storage,414,449,30.9,98.77,1.16,0
12-11-2024,US East,Compute,366,448,44.83,99.49,1.16,0
14-08-2024,Europe West,Storage,125,132,9.04,99.96,1.22,1
11-08-2024,US West,Compute,229,276,45.31,97.86,0.91,1
02-04-2024,Europe West,Storage,612,709,45.42,99.31,1.39,0
13-06-2025,India South,Storage,438,526,22.65,99.97,1.4,0
26-08-2024,Europe West,Storage,139,155,11.62,98.02,1.18,0
28-09-2024,US East,Compute,513,637,72.23,97.21,1.03,0
04-10-2024,US West,Compute,419,511,70.01,99.46,1.04,0
05-11-2024,US North,Storage,665,830,42.02,98.24,1.4,0
27-04-2024,Europe West,Compute,558,615,105.24,97.17,1.2,0
29-06-2025,US North,Storage,345,413,17.55,99.49,0.86,0
26-10-2024,Asia East,Compute,409,482,75.41,97.34,1.17,0
20-03-2025,US West,Compute,325,380,49.58,99.05,1.25,0
19-08-2024,India South,Storage,179,199,11.08,99.53,1.45,0
27-01-2025,India South,Storage,539,603,44.83,97.58,1.45,0
23-05-2025,US South,Compute,243,275,43.8,97.67,0.92,0
17-09-2024,Europe West,Compute,388,461,64.25,97.09,1.14,0
29-02-2024,Europe West,Storage,99,119,7.81,97.48,0.94,0
31-01-2024,US East,Compute,103,124,14.68,97.13,0.87,1
11-06-2025,US North,Storage,365,442,19.45,99.62,0.82,0
08-04-2024,India South,Storage,432,473,39.69,98.96,1.05,0
04-06-2024,Asia East,Compute,318,375,53.19,98.99,1.4,1
18-02-2025,Europe West,Compute,214,250,28.33,97.85,1.03,0
17-05-2025,Asia East,Compute,356,430,43.08,99,1.09,0
11-08-2024,Europe West,Compute,156,167,23.61,97.06,1.15,0
03-07-2024,US East,Storage,83,97,8.27,99.28,1.01,0
08-01-2025,Europe West,Storage,387,439,28.43,97.67,1.33,1
05-07-2024,Asia East,Compute,254,293,31.99,98.53,1.49,0
03-12-2024,US South,Compute,88,98,11.08,99.29,1.27,0
22-09-2024,India South,Compute,512,596,74.12,97.08,1.05,0
13-04-2025,US North,Storage,341,387,20.37,98.46,1.16,0
26-05-2025,US North,Storage,330,347,32.53,99.04,1.07,1
29-11-2024,India South,Storage,297,337,18.53,97.6,1.45,0
04-02-2024,India South,Storage,67,72,5.1,97.41,1.05,0
16-02-2024,US South,Storage,298,333,27.71,98.34,1,1
16-05-2024,Asia East,Storage,346,403,17.48,98.48,0.81,0
15-02-2024,US North,Compute,203,236,36.57,99.82,1.01,0
31-01-2025,India South,Compute,97,106,15.9,99.98,1.43,1
26-03-2025,US East,Compute,78,91,15.36,98.43,1,1
04-11-2024,US South,Compute,400,441,76.02,98.01,1.5,1
06-05-2024,US South,Storage,508,601,45.21,98.96,1.28,0
27-03-2024,Europe West,Storage,378,407,30.59,98.52,1.03,0
03-01-2024,Europe West,Compute,275,318,35.13,98.96,1.35,0
01-11-2024,India South,Storage,107,115,9.7,98.8,0.91,0
26-05-2025,Europe West,Compute,278,303,48.06,97.09,1.37,0
11-03-2025,US South,Storage,407,463,28.41,98.47,0.98,0
25-02-2025,US South,Compute,147,155,19.93,97.1,1.06,1
27-04-2024,India South,Compute,88,98,11.34,99.47,1.19,0
27-04-2025,US East,Storage,83,101,6.52,98.13,1.14,0
04-05-2024,US West,Storage,93,98,5.48,97.81,0.84,0
02-03-2025,US East,Compute,154,170,18.78,98.25,1.07,0
03-01-2025,US North,Storage,223,258,21.8,97.61,0.89,0
23-08-2024,Europe West,Storage,77,92,3.88,97.82,1.15,0
15-05-2025,US North,Storage,454,563,33.97,99.89,1.09,0
30-11-2024,Asia East,Storage,486,567,46.66,97.46,1.07,0
29-03-2024,Europe West,Compute,62,65,8.8,98.54,1.11,0
16-04-2025,US East,Storage,310,382,24.38,98.12,1.13,0
02-10-2024,US East,Compute,442,551,69.57,97.54,1.01,0
28-03-2025,US South,Storage,222,258,21.91,97.05,0.91,0
05-03-2024,Europe West,Storage,326,367,23.64,97.47,1.22,0
28-01-2024,US South,Compute,222,237,28.01,99.08,0.94,0
17-04-2025,Europe West,Storage,590,683,57.18,98.16,1.21,0
13-04-2024,Asia East,Compute,122,148,18.42,97.81,1.05,1
02-04-2025,US North,Storage,133,153,11.74,97.14,1.47,0
13-02-2024,Asia East,Compute,183,211,30.44,97.53,1.36,0
03-12-2024,US South,Compute,497,523,93.7,98.42,1.45,1
24-01-2025,US East,Storage,579,703,54.25,99.83,1.41,0
05-04-2024,US East,Storage,241,258,16.88,97.33,1.16,0
08-12-2024,US East,Compute,144,156,17.97,97.4,1.1,0
16-09-2024,Asia East,Storage,413,511,25.74,97.57,1.47,0
20-07-2024,Europe West,Storage,434,456,40.44,98.31,1.19,0
29-04-2024,Asia East,Storage,59,72,5.07,99.01,1.19,0
27-03-2024,US West,Compute,382,477,62.47,98.39,0.81,0
07-02-2025,Europe West,Compute,309,373,44.88,99.62,1.42,0
04-02-2024,US West,Compute,285,350,40.06,98.35,1.2,0
29-06-2025,US South,Compute,495,525,78.23,98.4,1.11,0
18-05-2024,US East,Storage,318,359,21.51,99.48,1.24,0
21-02-2024,US East,Compute,376,459,69.65,98.5,0.91,0
11-09-2024,US South,Compute,119,145,21.17,99.75,1.19,0
04-10-2024,US South,Storage,200,237,18.83,99.2,1.23,1
20-07-2024,India South,Storage,267,305,19.91,98.29,0.99,1
05-04-2025,US North,Compute,353,389,57.41,97.18,0.89,0
19-05-2024,US South,Storage,209,224,17.69,98.63,0.86,0
18-04-2025,US North,Storage,107,121,7.79,99.41,0.97,1
28-06-2025,Asia East,Compute,301,320,59.91,97.21,1.13,1
01-12-2024,US East,Compute,192,223,25.22,99.83,1.04,0
25-09-2024,India South,Compute,335,362,42.39,98.35,1.12,1
11-07-2024,US South,Storage,259,291,19.04,98.57,1.28,0
09-02-2025,US East,Storage,228,241,18.76,99.86,0.86,0
06-02-2025,US North,Compute,98,116,16.43,97.38,1.22,0
08-10-2024,India South,Compute,98,113,12.89,98.48,1.07,0
15-06-2024,US North,Storage,253,314,17.17,97,0.99,0
22-05-2024,US East,Compute,188,221,25.12,98.18,0.89,0
28-02-2024,US South,Compute,185,224,36.43,97.76,0.94,0
04-01-2024,Europe West,Storage,410,452,31.22,99.49,1.04,0
08-10-2024,US West,Compute,67,73,12.5,98.05,1.3,0
06-03-2024,Europe West,Compute,223,246,34.22,99.53,1.17,0
08-08-2024,US South,Storage,522,598,42.78,98.34,1.18,0
30-01-2025,US North,Storage,164,182,13.25,98.89,1.49,1
03-01-2025,US South,Compute,62,75,8.14,99.26,0.95,0
15-10-2024,US South,Storage,148,183,12.81,97.91,1.05,1
25-03-2025,US West,Storage,45,48,4.22,99.84,0.98,1
05-11-2024,US South,Compute,232,279,35.96,97.86,1.05,0
07-01-2025,US South,Storage,109,121,6.41,97.49,0.94,0
27-11-2024,US East,Storage,563,601,37.86,99.12,1.28,0
13-12-2024,Asia East,Compute,279,322,34.99,99.33,1.33,1
15-11-2024,US West,Compute,603,699,90.29,98.4,1.49,0
12-02-2025,US East,Storage,608,676,40.63,97.85,1.37,0
29-06-2024,US South,Compute,442,511,59.24,99.94,1.15,0
20-08-2024,Asia East,Compute,123,140,19.06,97.43,1.24,1
26-08-2024,US West,Compute,470,533,91.64,99.41,1.31,0
13-12-2024,Europe West,Compute,276,343,43.3,98.65,1.01,0
03-02-2025,India South,Compute,601,674,119.56,97.81,1.29,0
08-06-2025,US North,Storage,300,320,18.44,99.38,1.1,0
24-06-2025,India South,Storage,61,75,3.13,97.98,1.22,0
04-08-2024,US North,Compute,246,282,44.12,98.75,1.36,0
08-03-2025,US South,Storage,244,294,15.57,99.7,0.81,1
04-02-2025,US South,Storage,301,373,16.23,97.36,0.9,0
03-09-2024,US West,Compute,398,469,51.66,99.03,1.08,0
08-01-2024,India South,Compute,309,351,59.44,97.41,1.44,1
24-01-2025,US East,Storage,379,400,21.36,98.71,1.46,0
03-06-2025,US East,Compute,99,109,15.03,98.76,1.14,0
21-06-2025,US East,Storage,639,678,44.56,99.42,1.47,0
01-05-2025,India South,Compute,155,177,24.2,98.78,1.43,0
24-03-2025,Asia East,Compute,237,286,30.53,98.34,1.03,0
07-05-2024,Asia East,Storage,142,172,9.7,98.11,0.93,0
27-07-2024,US South,Storage,74,90,6.34,97.14,0.96,0
22-06-2025,US West,Compute,374,450,48.65,99.67,1.17,1
04-05-2025,Europe West,Compute,148,162,28.92,97.81,1.09,1
15-02-2024,US West,Compute,292,353,35.37,98.69,0.88,1
09-08-2024,US West,Storage,106,122,7.1,98.27,0.95,0
07-03-2024,Europe West,Compute,375,418,57.62,97.81,0.96,0
12-06-2025,US East,Compute,460,564,58.64,97.14,1.32,0
09-06-2025,US South,Storage,264,281,24.38,97.29,1.07,0
16-06-2025,US East,Storage,59,69,3.39,98.55,0.92,0
27-11-2024,India South,Compute,338,374,52.98,98.32,0.82,0
29-09-2024,US South,Storage,350,417,20.56,99.93,1.37,0
20-11-2024,US West,Compute,247,264,36.69,98.58,1.45,0
26-03-2024,US South,Compute,396,467,71.55,99.41,1.11,0
26-04-2025,US South,Compute,388,453,55.41,99.63,1.07,0
02-02-2025,US East,Storage,121,131,7.2,98.92,1.37,0
27-07-2024,US South,Compute,407,430,57.65,98.87,1.05,0
08-08-2024,US East,Storage,477,542,38.74,98.64,1.47,0
11-01-2025,Europe West,Storage,332,386,25.3,97.56,1.32,0
19-07-2024,US North,Storage,149,177,10.16,98.75,0.97,0
11-02-2025,US North,Compute,71,79,11.35,99.59,1.09,0
09-07-2024,Asia East,Compute,282,323,45.58,98.64,1.5,0
14-02-2024,Asia East,Compute,444,485,67.3,97.18,1.41,0
09-05-2025,Europe West,Compute,345,370,54.43,99.98,0.9,0
27-03-2025,US South,Storage,186,213,10.26,98.54,1.37,0
24-06-2025,US South,Compute,591,650,91.47,97.58,1.27,0
29-03-2025,US South,Compute,331,395,58.03,99.36,1.02,1
24-05-2025,US West,Storage,685,842,43.88,99.81,1.44,0
21-05-2024,India South,Storage,302,342,25.57,99.69,0.83,0
27-01-2024,India South,Storage,480,570,28.88,98.42,1.16,0
02-05-2025,US East,Compute,528,592,89.52,97.54,1.32,0
23-06-2025,India South,Storage,329,399,29.25,98.18,0.99,0
19-01-2025,Europe West,Compute,332,362,58.72,97.28,0.8,0
01-10-2024,US South,Compute,401,477,60.81,99.36,1.27,0
17-06-2024,Asia East,Storage,286,347,24.76,97.66,1.24,0
26-03-2025,Asia East,Compute,546,631,93.54,97.06,1.37,1
20-05-2024,US West,Compute,468,542,88.34,99.75,1.03,0
10-01-2024,Europe West,Compute,358,429,51.99,98.79,0.92,0
08-08-2024,India South,Storage,372,410,31.67,98.74,0.9,0
28-02-2025,India South,Storage,371,437,25.57,99.33,0.9,0
15-04-2024,US West,Compute,353,426,64.09,99.43,0.89,0
12-04-2025,US South,Compute,396,464,59.47,97.3,1.22,1
23-04-2024,US South,Storage,161,170,12.75,98.18,1,0
17-09-2024,US North,Storage,592,677,52.33,98.52,1.32,0
31-05-2024,US South,Compute,329,395,63.31,99.82,1.35,0
03-10-2024,US South,Storage,112,130,8.54,98.69,1.48,1
23-03-2025,India South,Storage,282,315,15.92,98.8,1.16,1
29-03-2024,Asia East,Storage,134,161,7.44,98.88,1.39,0
14-05-2024,US West,Compute,70,82,10.18,99.05,0.96,0
13-01-2025,US West,Compute,374,459,46.93,99.27,1.26,0
04-02-2024,Europe West,Compute,75,84,14.42,99.17,0.92,0
09-01-2025,India South,Storage,305,377,27.17,97.42,0.82,0
15-05-2024,US West,Storage,467,490,35.82,97.42,1.09,0
24-11-2024,US North,Compute,80,90,14.52,98.15,0.95,0
14-06-2025,India South,Compute,283,324,54.15,97.84,1.26,0
30-03-2025,India South,Compute,650,730,123.78,98.88,1.41,0
02-06-2025,US West,Storage,197,207,16.89,98.98,1.02,0
08-06-2025,US South,Compute,159,171,27.25,99.19,1.45,0
19-02-2024,India South,Compute,383,405,48.48,98.79,0.84,0
12-07-2024,US North,Storage,125,134,11.88,99.86,1.41,0
01-11-2024,Asia East,Storage,287,348,23.07,98.06,1.1,1
07-08-2024,US South,Compute,344,374,41.88,98.19,1.16,1
23-06-2024,Asia East,Compute,284,317,56.67,98.98,1.2,0
02-06-2024,US North,Storage,214,244,12.33,99.96,1.34,1
22-04-2025,US East,Storage,234,287,18.74,98.69,0.82,1
21-02-2024,US East,Storage,177,194,14.75,97.99,1,0
01-01-2024,Europe West,Storage,121,127,8.76,99.86,0.88,0
09-01-2025,US East,Storage,133,150,6.81,97.91,1.26,0
27-12-2024,Asia East,Storage,584,625,46.47,97.74,1.34,0
18-11-2024,Asia East,Compute,255,309,41.46,97.83,0.83,0
20-04-2024,Asia East,Compute,336,357,63.7,97.74,1.2,0
01-07-2024,Europe West,Compute,283,311,51.4,99.81,0.84,1
15-04-2025,Asia East,Storage,544,639,38.64,99.91,1.1,0
15-10-2024,US East,Compute,400,443,59.18,99.43,1.45,0
27-03-2024,US East,Storage,133,145,10.47,99.95,1.39,0
15-05-2024,US West,Storage,440,548,23.31,99.61,1.28,0
17-05-2025,US North,Storage,356,432,28.85,98.11,0.94,0
15-02-2025,US East,Compute,607,731,93.43,99.17,1.38,0
24-01-2025,Asia East,Compute,526,594,68.86,99.87,1.32,0
28-03-2024,US West,Compute,374,394,67.25,99.01,1.44,0
13-01-2025,US South,Storage,508,584,34.2,97.07,1.42,0
10-03-2024,India South,Storage,128,146,8.48,98.81,0.87,0
01-06-2024,US North,Compute,234,274,44.87,99.3,1.23,1
02-04-2025,US East,Compute,241,276,31.68,98.01,1.41,0
13-04-2024,US East,Storage,229,276,15.54,98.9,0.97,0
01-12-2024,India South,Compute,115,139,21.49,98.75,1.11,0
04-02-2025,India South,Compute,377,414,64.47,98.52,0.81,0
26-12-2024,US West,Storage,108,124,8.81,98.91,0.9,0
01-10-2024,US North,Storage,117,131,7.72,99.52,1.24,1
02-08-2024,India South,Storage,675,814,58.68,98.21,1.39,0
06-06-2025,Asia East,Storage,457,502,40.6,98.25,0.94,0
07-01-2024,US North,Storage,551,592,53.81,99.14,1.47,1
06-04-2024,Asia East,Compute,499,585,61.69,97.92,1.38,0
03-08-2024,Europe West,Storage,653,811,54.56,98.29,1.43,0
15-07-2024,US West,Compute,275,297,44.52,99.01,1.28,0
16-02-2024,Europe West,Storage,92,113,8.84,97.43,1.43,0
02-08-2024,US North,Storage,325,375,30.74,98.82,0.8,0
06-05-2024,US West,Storage,146,171,14.15,97.41,1.49,0
21-04-2025,US East,Storage,627,659,57.52,99.11,1.42,0
04-02-2025,US South,Storage,502,534,46.59,98.74,1.16,0
18-01-2024,Asia East,Storage,305,371,26.16,99.97,1.41,0
21-06-2024,India South,Storage,605,741,41.17,98.24,1.22,0
15-02-2025,Europe West,Storage,365,409,22.11,97.03,1.08,0
15-05-2025,Europe West,Storage,323,368,23.38,99.94,1.02,1
05-03-2025,US North,Compute,296,317,57.92,99.27,0.93,1
09-02-2025,US West,Storage,284,332,24.37,99.14,0.85,0
25-04-2024,India South,Storage,281,317,14.4,97.57,1.09,0
06-12-2024,US North,Storage,259,275,17.34,97.56,0.86,0
10-01-2025,US East,Storage,680,757,56.45,99.45,1.47,0
12-06-2024,US East,Storage,510,632,36.65,99.4,1.06,0
23-10-2024,US South,Compute,242,299,42.74,97.57,1.46,0
10-05-2024,US South,Compute,414,507,52.44,98.88,0.96,0
09-01-2025,US East,Compute,101,124,14.53,97.04,0.93,1
11-02-2024,US South,Compute,473,546,82.91,99.31,1.18,0
25-08-2024,US South,Compute,123,136,23.69,97.71,1.33,0
27-07-2024,US South,Storage,677,731,65.2,99.67,1.47,0
27-12-2024,US East,Compute,124,151,21.65,99.03,1.1,0
19-05-2025,US South,Storage,502,539,39.34,99.65,1.4,0
18-06-2024,US East,Storage,315,385,27.65,99.17,1.04,1
27-03-2024,US East,Storage,154,167,15,97.25,1.27,1
10-08-2024,US South,Storage,211,240,17.13,98.66,1.34,0
05-08-2024,US East,Compute,46,50,7.52,98.77,1.01,1
11-03-2025,US West,Compute,526,644,99.79,97.04,1.36,0
05-02-2025,Asia East,Compute,272,314,48.58,99.42,0.8,0
26-05-2025,US West,Compute,250,311,46.47,97.82,1.06,0
22-02-2025,India South,Compute,64,68,8.31,97.8,0.85,0
07-04-2024,India South,Compute,356,389,61.83,98.83,1.27,0
15-04-2024,Europe West,Storage,100,112,8.29,99.39,1.39,0
08-08-2024,US South,Compute,294,308,42.37,98.6,1.33,1
04-04-2024,US North,Compute,475,550,67.38,98.08,0.97,0
28-06-2024,US South,Compute,328,408,61.48,99.51,1.03,0
18-01-2025,US West,Storage,581,651,57.13,98.35,1.39,0
27-01-2025,US East,Compute,192,212,34.53,97.02,1.48,1
24-03-2025,US South,Storage,260,278,25.44,98.58,1.48,0
06-10-2024,US East,Compute,202,228,27.42,97.83,0.92,0
15-10-2024,US West,Compute,59,72,9.15,98.14,0.93,0
15-09-2024,Europe West,Storage,225,246,17.21,99.46,1.01,1
13-12-2024,India South,Storage,322,391,19.61,97.38,1.27,0
29-08-2024,US South,Storage,170,188,15.9,99.8,0.94,0
18-12-2024,US East,Storage,350,390,25.01,98.37,1.19,1
30-03-2024,US East,Storage,167,182,12.29,99.87,1.45,1
17-11-2024,US East,Storage,435,487,36.41,97.96,1.32,0
21-01-2025,Europe West,Storage,180,212,17.81,97.87,0.97,0
06-03-2025,Europe West,Storage,168,202,15.86,99.89,1.48,0
07-05-2024,India South,Compute,94,107,18.37,97.04,1.19,0
04-06-2025,US East,Storage,421,465,33.1,99.82,1.32,0
25-09-2024,US East,Storage,560,688,36.65,99.49,1.21,0
29-09-2024,India South,Compute,114,131,17.61,98.41,0.95,1
14-12-2024,US West,Storage,440,503,39.15,99.17,1.15,0
03-05-2025,US East,Compute,110,121,18.38,97.35,0.84,0
25-12-2024,Europe West,Compute,82,95,13.79,99.15,1.06,0
28-05-2024,Asia East,Compute,101,113,14.1,97.17,1.32,0
26-10-2024,US South,Compute,561,671,90.63,97.16,1.33,0
25-08-2024,India South,Storage,257,310,24.9,99.33,1.1,0
23-10-2024,Asia East,Compute,168,204,23.32,99.67,0.84,0
28-01-2024,US North,Compute,354,387,62.98,97.87,1.06,1
09-01-2025,US South,Compute,249,277,44.49,98.96,1.16,0
18-07-2024,Asia East,Storage,146,159,9.22,97.14,0.89,0
01-04-2024,US South,Compute,140,160,26.32,97.75,0.92,0
12-06-2024,Europe West,Compute,365,436,52.39,98.03,0.86,0
18-05-2024,Asia East,Compute,162,187,27.58,98.98,1.09,0
17-04-2024,US North,Storage,200,238,16.34,99.58,1.14,1
07-05-2024,US North,Compute,291,349,49.79,99.9,1.08,0
14-06-2024,US East,Storage,348,411,27.23,99.26,1.19,0
20-10-2024,US North,Compute,424,483,66.1,99.06,1.43,0
15-06-2024,Europe West,Compute,268,328,47.71,98.32,0.89,0
09-07-2024,US North,Storage,240,274,21.56,99.34,1.04,1
15-10-2024,US South,Compute,62,68,9.51,97.47,0.87,1
05-01-2024,US West,Storage,180,193,13.65,97.75,1.01,0
23-02-2024,US West,Storage,375,466,19.17,99.92,1.22,0
26-03-2025,US East,Storage,133,147,6.7,99.29,1.18,0
22-01-2024,US South,Compute,506,626,76.9,97.95,1.18,0
15-06-2025,US West,Storage,377,459,29.59,98.37,0.87,0
04-02-2024,Europe West,Compute,513,570,73.95,98.49,1.18,0
04-05-2025,US North,Compute,414,474,76.58,98.73,1.48,0
29-09-2024,US West,Compute,226,259,34.84,97.32,1.44,0
22-12-2024,US East,Compute,149,161,27.94,98.8,1.31,0
07-02-2025,India South,Storage,105,119,6.95,98.13,0.89,0
27-02-2025,US North,Compute,315,351,44.81,99.32,0.83,0
24-03-2024,US West,Compute,214,248,39.41,98,1.03,0
29-06-2024,US West,Storage,223,257,17.21,97.04,0.89,0
07-08-2024,US East,Compute,516,634,100.05,97.31,1.38,0
02-12-2024,India South,Storage,151,159,14.92,99.52,1.16,0
27-01-2025,US North,Compute,376,426,61.19,98.64,1.36,0
27-06-2024,US North,Compute,570,616,106.78,98.81,1.47,0
03-07-2024,US South,Compute,594,644,95.54,99.1,1.22,0
26-12-2024,US North,Compute,84,96,12.36,97.15,1.44,0
01-05-2025,US West,Compute,136,161,26.85,97.6,1.11,0
22-03-2024,Europe West,Compute,56,66,7.4,98.88,1.02,0
09-01-2025,US South,Compute,488,519,72.74,99.94,1.47,0
01-02-2025,India South,Compute,601,704,85.12,98.58,1.25,0
28-04-2024,Asia East,Storage,122,149,8.16,98.3,0.97,0
09-11-2024,US West,Storage,654,728,45.36,97.66,1.33,0
27-06-2025,Asia East,Storage,517,563,40.78,98.59,1.08,0
23-09-2024,Asia East,Compute,251,302,40.17,98.05,1.03,1
17-01-2025,Asia East,Compute,364,450,64.67,98.1,0.85,0
05-08-2024,India South,Storage,392,415,35.62,98.09,0.98,0
08-12-2024,US North,Compute,250,272,42.17,97.33,0.97,0
22-11-2024,US South,Compute,411,468,67.77,97.79,1,0
04-03-2024,Europe West,Storage,299,371,27.72,98.8,1.46,0
03-09-2024,US West,Storage,430,529,28.44,98.57,0.91,0
04-06-2024,US East,Compute,466,535,86.33,98.95,1.34,0
05-02-2024,US West,Compute,266,299,49.38,98.68,1.28,1
19-06-2024,US South,Storage,180,223,9.07,98.67,1.43,0
17-02-2024,US North,Storage,165,187,8.79,97.34,1.39,1
10-05-2025,US North,Storage,83,98,4.63,97.94,0.82,0
07-07-2024,US East,Storage,241,268,16.09,97.6,1.48,0
10-02-2024,US West,Storage,434,466,41.74,97.11,1.04,0
27-06-2025,US South,Compute,278,306,41.91,97.6,1.25,0
18-01-2024,US West,Compute,492,538,65.04,97.51,1.28,0
02-12-2024,Asia East,Compute,166,195,27.23,97.71,1.11,0
27-02-2025,US South,Storage,162,197,11.17,97.42,1.3,0
12-03-2025,Europe West,Storage,226,277,15.85,98.29,1.35,0
18-03-2025,US South,Storage,349,422,29.72,97.35,0.82,0
12-06-2024,Europe West,Storage,366,392,20.98,99.57,0.85,0
22-04-2024,US East,Compute,395,479,57.2,98.47,1.28,0
30-08-2024,US West,Storage,369,395,24.85,97.1,1.28,0
02-03-2025,US South,Compute,343,383,60.19,97.67,1.14,0
31-07-2024,US South,Storage,144,155,7.2,97.51,1.03,0
16-11-2024,US South,Compute,144,151,17.82,99.33,0.88,0
07-10-2024,India South,Storage,166,184,9.36,97.28,1.02,0
11-08-2024,Asia East,Storage,207,231,15.14,99.03,1.46,0
11-01-2024,Europe West,Storage,432,462,31.74,99.45,1.29,0
12-11-2024,India South,Storage,237,293,13.81,98.8,1.3,0
10-02-2024,US East,Storage,311,360,19.65,98.66,1.07,0
11-02-2025,Asia East,Storage,337,403,29.61,97.86,0.97,0
30-05-2025,US East,Storage,260,276,17.42,99.18,1.06,0
26-12-2024,US West,Compute,421,456,56.81,99.62,1.27,0
17-06-2025,Europe West,Storage,196,233,12.09,98.15,0.82,0
07-06-2024,India South,Compute,626,766,117.81,97.75,1.3,0
21-07-2024,US North,Storage,590,688,31.34,97.53,1.48,1
10-06-2025,US North,Storage,116,140,6.86,97.89,1,0
02-07-2024,US East,Storage,410,455,29.64,97.66,0.87,0
22-06-2025,India South,Storage,129,152,7.73,97.58,1.09,1
09-05-2024,Europe West,Compute,292,329,36.89,98.78,0.86,0
09-06-2024,US West,Compute,439,514,85.91,99.71,1.19,1
12-05-2024,Europe West,Storage,590,647,41.75,98.19,1.32,0
03-09-2024,US South,Compute,267,313,45.81,97.19,1.03,0
27-09-2024,Asia East,Storage,78,91,6.39,97.5,1.35,0
02-12-2024,US South,Storage,66,76,6.2,99.14,0.96,0
03-02-2025,US East,Compute,468,584,88.76,98.94,1.11,0
12-05-2024,US West,Storage,490,575,41.4,97.36,1.35,0
04-02-2025,US South,Compute,94,101,12.14,99.77,0.97,0
16-04-2024,US South,Compute,410,507,64.43,99.19,0.98,0
24-07-2024,US South,Storage,102,121,8.49,99.48,1.42,0
26-02-2025,US North,Storage,375,430,30.48,97.59,0.97,0
17-03-2025,India South,Compute,134,148,18.56,99.74,0.91,0
04-02-2024,India South,Storage,208,256,11.27,99.89,0.94,0
26-11-2024,US West,Storage,605,645,34.21,98.27,1.21,0
27-02-2025,US South,Storage,438,473,27.53,99.78,0.96,0
